Time,VAV SYS 1:DesPer 1:Des Heat Mass Flow [kg/s],VAV SYS 1:DesPer 1:Des Heat Cap [W],VAV SYS 1:DesPer 1:Des Cool Mass Flow [kg/s],VAV SYS 1:DesPer 1:Des Sens Cool Cap [W],VAV SYS 1:DesPer 1:Des Tot Cool Cap [W],VAV SYS 1:DesPer 2:Des Heat Mass Flow [kg/s],VAV SYS 1:DesPer 2:Des Heat Cap [W],VAV SYS 1:DesPer 2:Des Cool Mass Flow [kg/s],VAV SYS 1:DesPer 2:Des Sens Cool Cap [W],VAV SYS 1:DesPer 2:Des Tot Cool Cap [W]
11:15:00,5.101204E-01,9.773183E+03,3.180042E-01,0.000000E+00,0.000000E+00,3.180042E-01,0.000000E+00,9.737448E-01,1.356649E+04,2.248309E+04
11:30:00,5.101204E-01,9.773183E+03,3.180042E-01,0.000000E+00,0.000000E+00,3.180042E-01,0.000000E+00,9.644297E-01,1.353138E+04,2.230277E+04
11:45:00,5.101204E-01,9.773183E+03,3.180042E-01,0.000000E+00,0.000000E+00,3.180042E-01,0.000000E+00,9.523310E-01,1.346392E+04,2.209739E+04
12:00:00,5.101204E-01,9.773183E+03,3.180042E-01,0.000000E+00,0.000000E+00,3.180042E-01,0.000000E+00,9.381985E-01,1.337279E+04,2.189750E+04
12:15:00,5.101204E-01,9.773183E+03,3.180042E-01,0.000000E+00,0.000000E+00,3.180042E-01,0.000000E+00,9.068359E-01,1.303885E+04,2.138756E+04
12:30:00,5.101204E-01,9.773183E+03,3.180042E-01,0.000000E+00,0.000000E+00,3.180042E-01,0.000000E+00,8.734814E-01,1.268223E+04,2.074371E+04
12:45:00,5.101204E-01,9.773183E+03,3.180042E-01,0.000000E+00,0.000000E+00,3.180042E-01,0.000000E+00,8.399509E-01,1.232378E+04,2.008911E+04
13:00:00,5.101204E-01,9.773183E+03,3.180042E-01,0.000000E+00,0.000000E+00,3.180042E-01,0.000000E+00,8.069221E-01,1.197138E+04,1.949601E+04
13:15:00,5.101204E-01,9.773183E+03,3.180042E-01,0.000000E+00,0.000000E+00,3.180042E-01,0.000000E+00,8.348280E-01,1.236512E+04,1.995764E+04
13:30:00,5.101204E-01,9.773183E+03,3.180042E-01,0.000000E+00,0.000000E+00,3.180042E-01,0.000000E+00,8.683711E-01,1.282408E+04,2.065476E+04
13:45:00,5.101204E-01,9.773183E+03,3.180042E-01,0.000000E+00,0.000000E+00,3.180042E-01,0.000000E+00,9.057101E-01,1.332581E+04,2.145884E+04
14:00:00,5.101204E-01,9.773183E+03,3.180042E-01,0.000000E+00,0.000000E+00,3.180042E-01,0.000000E+00,9.463968E-01,1.386445E+04,2.228194E+04
14:15:00,5.101204E-01,9.773183E+03,3.180042E-01,0.000000E+00,0.000000E+00,3.180042E-01,0.000000E+00,9.670103E-01,1.412775E+04,2.267958E+04
14:30:00,5.101204E-01,9.773183E+03,3.180042E-01,0.000000E+00,0.000000E+00,3.180042E-01,0.000000E+00,9.890400E-01,1.440797E+04,2.314558E+04
14:45:00,5.101204E-01,9.773183E+03,3.180042E-01,0.000000E+00,0.000000E+00,3.180042E-01,0.000000E+00,1.012113E+00,1.470080E+04,2.363096E+04
15:00:00,5.101204E-01,9.773183E+03,3.180042E-01,0.000000E+00,0.000000E+00,3.180042E-01,0.000000E+00,1.035794E+00,1.500117E+04,2.409319E+04
15:15:00,5.101204E-01,9.773183E+03,3.180042E-01,0.000000E+00,0.000000E+00,3.180042E-01,0.000000E+00,1.045271E+00,1.505959E+04,2.420166E+04
15:30:00,5.101204E-01,9.773183E+03,3.180042E-01,0.000000E+00,0.000000E+00,3.180042E-01,0.000000E+00,1.053861E+00,1.510774E+04,2.428962E+04
15:45:00,5.101204E-01,9.773183E+03,3.180042E-01,0.000000E+00,0.000000E+00,3.180042E-01,0.000000E+00,1.061395E+00,1.514349E+04,2.435565E+04
16:00:00,5.101204E-01,9.773183E+03,3.180042E-01,0.000000E+00,0.000000E+00,3.180042E-01,0.000000E+00,1.067691E+00,1.516465E+04,2.439507E+04
16:15:00,5.101204E-01,9.773183E+03,3.180042E-01,0.000000E+00,0.000000E+00,3.180042E-01,0.000000E+00,1.061725E+00,1.502844E+04,2.421000E+04
16:30:00,5.101204E-01,9.773183E+03,3.180042E-01,0.000000E+00,0.000000E+00,3.180042E-01,0.000000E+00,1.052825E+00,1.485756E+04,2.400896E+04
16:45:00,5.101204E-01,9.773183E+03,3.180042E-01,0.000000E+00,0.000000E+00,3.180042E-01,0.000000E+00,1.040344E+00,1.464429E+04,2.375574E+04
17:00:00,5.101204E-01,9.773183E+03,3.180042E-01,0.000000E+00,0.000000E+00,3.180042E-01,0.000000E+00,1.024109E+00,1.438622E+04,2.343111E+04
17:15:00,5.101204E-01,9.773183E+03,3.180042E-01,0.000000E+00,0.000000E+00,3.180042E-01,0.000000E+00,1.022313E+00,1.427988E+04,2.332900E+04
17:30:00,5.101204E-01,9.773183E+03,3.180042E-01,0.000000E+00,0.000000E+00,3.180042E-01,0.000000E+00,1.016600E+00,1.412808E+04,2.315954E+04
17:45:00,5.101204E-01,9.773183E+03,3.180042E-01,0.000000E+00,0.000000E+00,3.180042E-01,0.000000E+00,1.006792E+00,1.392880E+04,2.292460E+04
18:00:00,5.101204E-01,9.773183E+03,3.180042E-01,0.000000E+00,0.000000E+00,3.180042E-01,0.000000E+00,9.920591E-01,1.367223E+04,2.261273E+04
18:15:00,5.101204E-01,9.773183E+03,3.180042E-01,0.000000E+00,0.000000E+00,3.180042E-01,0.000000E+00,9.096662E-01,1.248330E+04,2.100100E+04
18:30:00,5.101204E-01,9.773183E+03,3.180042E-01,0.000000E+00,0.000000E+00,3.180042E-01,0.000000E+00,8.153439E-01,1.116171E+04,1.911481E+04
18:45:00,5.101204E-01,9.773183E+03,3.180042E-01,0.000000E+00,0.000000E+00,3.180042E-01,0.000000E+00,7.087755E-01,9.698845E+03,1.705333E+04
19:00:00,5.101204E-01,9.773183E+03,3.180042E-01,0.000000E+00,0.000000E+00,3.180042E-01,0.000000E+00,5.923747E-01,8.118661E+03,1.488472E+04
19:15:00,5.101204E-01,9.773183E+03,3.180042E-01,0.000000E+00,0.000000E+00,3.180042E-01,0.000000E+00,5.081071E-01,6.966247E+03,1.334674E+04
19:30:00,5.101204E-01,9.773183E+03,3.180042E-01,0.000000E+00,0.000000E+00,3.180042E-01,0.000000E+00,4.240374E-01,5.821379E+03,1.177448E+04
19:45:00,5.101204E-01,9.773183E+03,3.180042E-01,0.000000E+00,0.000000E+00,3.180042E-01,0.000000E+00,3.666063E-01,5.005037E+03,1.066554E+04
20:00:00,5.101204E-01,9.773183E+03,3.180042E-01,0.000000E+00,0.000000E+00,3.180042E-01,0.000000E+00,3.450053E-01,4.642733E+03,1.019262E+04
20:15:00,5.101204E-01,9.773183E+03,3.180042E-01,0.000000E+00,0.000000E+00,3.180042E-01,0.000000E+00,3.304928E-01,4.359843E+03,9.836422E+03
20:30:00,5.101204E-01,9.773183E+03,3.180042E-01,0.000000E+00,0.000000E+00,3.180042E-01,0.000000E+00,3.192427E-01,4.128450E+03,9.548957E+03
20:45:00,5.101204E-01,9.773183E+03,3.180042E-01,0.000000E+00,0.000000E+00,3.180042E-01,0.000000E+00,3.180042E-01,4.035188E+03,9.447362E+03
21:00:00,5.101204E-01,9.773183E+03,3.180042E-01,0.000000E+00,0.000000E+00,3.180042E-01,0.000000E+00,3.180042E-01,3.958257E+03,9.368001E+03
21:15:00,5.101204E-01,9.773183E+03,3.180042E-01,0.000000E+00,0.000000E+00,3.180042E-01,0.000000E+00,3.180042E-01,3.881325E+03,9.288639E+03
21:30:00,5.101204E-01,9.773183E+03,3.180042E-01,0.000000E+00,0.000000E+00,3.180042E-01,0.000000E+00,3.180042E-01,3.804394E+03,9.209278E+03
21:45:00,5.101204E-01,9.773183E+03,3.180042E-01,0.000000E+00,0.000000E+00,3.180042E-01,0.000000E+00,3.180042E-01,3.727462E+03,9.129916E+03
22:00:00,5.101204E-01,9.773183E+03,3.180042E-01,0.000000E+00,0.000000E+00,3.180042E-01,0.000000E+00,3.180042E-01,3.650531E+03,9.050561E+03
22:15:00,5.101204E-01,9.773183E+03,3.180042E-01,0.000000E+00,0.000000E+00,3.180042E-01,0.000000E+00,3.180042E-01,3.590695E+03,8.988836E+03
22:30:00,5.101204E-01,9.773183E+03,3.180042E-01,0.000000E+00,0.000000E+00,3.180042E-01,0.000000E+00,3.180042E-01,3.530859E+03,8.927109E+03
22:45:00,5.101204E-01,9.773183E+03,3.180042E-01,0.000000E+00,0.000000E+00,3.180042E-01,0.000000E+00,3.180042E-01,3.471024E+03,8.865390E+03
23:00:00,5.101204E-01,9.773183E+03,3.180042E-01,0.000000E+00,0.000000E+00,3.180042E-01,0.000000E+00,3.180042E-01,3.411188E+03,8.803664E+03
23:15:00,5.101204E-01,9.773183E+03,3.180042E-01,0.000000E+00,0.000000E+00,3.180042E-01,0.000000E+00,3.180042E-01,3.351353E+03,8.741939E+03
23:30:00,5.101204E-01,9.773183E+03,3.180042E-01,0.000000E+00,0.000000E+00,3.180042E-01,0.000000E+00,3.180042E-01,3.291517E+03,8.680219E+03
23:45:00,5.101204E-01,9.773183E+03,3.180042E-01,0.000000E+00,0.000000E+00,3.180042E-01,0.000000E+00,3.180042E-01,3.231681E+03,8.618494E+03
24:00:00,5.101204E-01,9.773183E+03,3.180042E-01,0.000000E+00,0.000000E+00,3.180042E-01,0.000000E+00,3.180042E-01,3.171846E+03,8.556774E+03
Coinc Peak   ,5.101204E-01,1.067691E+00,9.773183E+03,1.662989E+04
NonCoinc Peak,5.101204E-01,1.235185E+00,9.773183E+03,1.662989E+04
